html_kb,css_kb,js_kb,image_count,font_count,http_requests,load_time_sec
9.96,377.93,248.46,33,4,51,6.34
26.04,379.73,732.09,8,5,27,5.46
11.13,60.53,808.23,25,4,45,5.83
129.1,452.25,96.7,1,7,21,4.19
66.3,257.57,518.17,8,5,18,4.14
104.17,414.96,218.93,8,3,20,4.25
181.98,166.82,113.79,39,1,64,5.91
53.61,448.81,1485.14,16,6,34,8.5
85.02,200.71,497.08,0,7,22,4.09
152.33,15.31,1218.61,24,7,47,7.42
49.62,453.64,396.87,39,3,47,7.29
20.01,54.73,1028.62,24,3,51,6.53
61.5,166.46,1145.14,38,2,55,8.04
36.44,475.53,901.55,34,7,50,8.79
186.29,475.8,717.93,2,2,23,5.56
162.58,290.98,629.52,36,2,47,7.2
128.51,319.6,536.33,29,6,51,7.09
174.93,229.74,1395.7,37,2,48,9.0
161.72,153.67,1249.32,33,5,59,8.73
41.38,171.05,1448.24,11,4,36,6.86
179.05,339.53,203.96,18,1,35,4.9
110.17,378.66,1101.68,36,3,58,9.11
162.45,397.87,1408.74,16,5,40,8.35
179.74,396.91,288.22,9,1,20,4.32
67.01,54.69,118.41,11,7,34,3.26
26.46,252.27,1116.86,15,7,46,7.13
49.45,38.2,870.22,23,7,52,6.39
88.29,279.27,1265.91,18,5,41,7.6
164.51,226.35,226.86,7,5,18,3.72
172.84,444.98,1197.0,30,3,46,9.1
6.36,181.95,318.41,20,4,33,4.38
104.6,67.36,262.21,16,2,42,3.82
86.4,80.07,263.11,22,7,34,4.4
48.31,383.14,1225.57,36,6,49,9.22
28.37,312.93,1004.49,15,4,29,6.29
70.83,59.55,794.14,5,6,20,4.11
188.87,51.21,551.07,7,3,19,3.75
68.02,353.47,1318.26,24,3,32,7.83
106.16,45.65,600.82,17,3,41,4.67
142.09,412.71,1228.57,24,1,48,8.48
75.91,356.06,669.92,11,6,35,5.98
194.5,49.86,577.88,14,4,34,4.58
192.68,51.57,704.77,25,4,43,5.94
54.1,493.45,466.04,25,5,54,7.12
101.96,193.39,1126.46,31,5,58,8.38
63.67,191.61,764.03,9,7,31,5.28
60.54,408.27,363.67,15,5,26,5.03
12.19,474.15,1351.37,6,3,31,7.22
123.87,493.14,588.16,16,4,31,6.26
103.02,379.16,824.46,22,6,47,7.45
15.04,194.37,1361.58,25,3,43,7.5
59.34,50.92,943.87,20,1,43,5.54
182.11,390.8,193.01,21,5,42,5.94
51.71,283.62,1410.95,6,3,19,6.42
33.25,217.87,949.01,13,3,40,5.77
100.44,454.11,515.66,14,1,32,5.61
197.2,64.49,226.12,6,2,32,3.13
52.2,251.39,1195.16,8,4,32,6.18
136.07,15.56,937.71,7,6,35,5.17
153.52,239.64,809.52,22,7,43,6.92
51.34,37.59,1342.96,28,2,42,7.09
147.0,68.22,1187.12,17,5,44,6.83
76.72,67.59,244.48,30,3,38,4.57
128.3,328.11,481.35,29,1,42,6.36
128.54,375.56,387.76,38,1,49,6.86
109.48,295.85,1121.04,34,4,47,8.52
22.61,481.46,69.63,17,2,38,4.62
167.88,193.69,863.44,38,7,64,8.8
67.55,150.0,1148.44,16,4,26,6.03
41.37,435.61,1317.61,13,3,21,7.03
12.95,119.56,526.28,30,4,49,5.73
120.22,481.98,1235.46,23,6,43,8.81
137.13,15.96,183.73,34,1,57,5.07
8.23,485.24,1272.75,33,1,56,9.27
104.86,31.15,208.68,2,5,28,2.59
49.17,446.66,607.99,36,5,53,8.0
130.81,268.57,1200.0,39,7,65,9.58
39.0,496.55,241.88,25,3,40,6.04
139.73,46.16,359.29,22,6,49,5.18
80.41,281.39,1088.93,38,2,56,8.59
187.66,484.96,1085.65,14,4,30,7.6
31.82,266.32,968.9,3,7,28,5.52
71.51,318.41,1047.04,28,3,39,7.57
27.13,350.92,823.23,21,5,31,6.38
185.32,232.73,392.66,24,4,33,5.41
176.08,317.5,531.63,12,5,40,5.8
55.3,296.31,288.76,17,4,41,4.94
133.7,451.57,1364.51,32,2,52,9.59
164.36,32.27,883.42,15,3,38,5.51
113.26,147.67,613.26,1,4,14,3.64
108.28,475.7,703.77,34,6,53,8.55
52.16,446.23,1421.98,33,7,46,9.83
23.16,233.27,246.96,29,1,52,5.31
179.96,313.86,887.62,12,6,28,6.42
180.58,145.92,768.72,12,6,31,5.58
128.45,102.18,924.95,17,7,29,5.96
71.11,237.21,46.8,31,1,45,4.87
73.1,183.14,1310.74,31,6,57,8.64
146.56,295.99,1399.54,34,4,55,9.53
179.94,48.09,856.4,38,4,55,7.4
177.98,487.45,1051.04,28,4,49,8.91
157.08,493.24,1385.3,28,1,42,9.3
130.2,352.1,1066.71,15,6,36,7.22
21.41,272.69,245.76,9,1,18,3.03
36.52,161.67,872.91,29,4,39,6.53
180.22,408.76,917.94,24,7,41,8.07
123.25,345.52,647.71,38,6,62,8.44
6.79,89.68,1109.94,19,6,33,6.12
24.79,456.35,1402.86,4,5,19,6.92
134.38,413.04,1389.84,0,5,28,7.11
5.99,475.4,687.24,29,2,41,7.15
36.36,365.6,187.59,2,3,11,3.09
112.0,310.57,1477.56,13,5,40,7.81
139.92,214.94,1261.57,29,1,47,7.95
132.13,467.04,204.5,3,5,21,4.35
48.73,434.37,1382.85,17,2,42,8.07
143.87,32.16,1307.45,36,6,59,8.56
51.26,22.92,787.88,24,2,41,5.43
68.45,194.47,895.09,0,6,11,4.5
150.57,407.17,610.52,14,7,32,6.18
131.68,493.77,101.05,8,7,34,5.01
170.6,83.7,516.09,14,6,25,4.57
133.23,301.12,1208.22,23,3,42,7.89
115.82,196.64,26.86,3,5,19,2.7
23.27,485.26,513.58,11,1,31,5.18
76.7,422.64,609.29,36,1,60,7.81
56.71,420.78,815.35,36,4,45,8.03
52.58,239.66,1381.39,5,6,32,6.67
194.74,213.26,532.59,38,1,60,7.2
81.65,143.97,533.49,23,3,33,5.12
178.95,37.62,1111.5,10,6,32,5.85
128.07,433.71,689.28,12,3,25,5.92
159.99,408.32,352.42,33,1,49,6.79
103.01,499.86,689.61,24,1,32,6.7
117.5,498.35,228.47,6,4,22,4.58
101.04,282.16,281.05,3,1,22,3.24
43.07,386.8,757.58,7,6,31,5.77
145.88,472.94,640.01,19,7,40,7.29
59.75,426.33,1373.97,28,6,40,8.96
9.74,131.2,556.34,9,6,33,4.35
130.87,230.77,879.27,33,4,50,7.58
39.54,73.29,955.75,25,4,36,6.05
188.39,477.49,39.38,2,1,15,3.56
191.02,307.03,1002.04,5,2,27,5.7
183.4,122.03,283.49,4,2,12,2.71
77.18,339.13,1442.38,4,4,18,6.59
8.01,312.88,240.02,22,1,39,4.74
186.02,185.5,633.64,8,2,19,4.37
88.5,65.64,146.32,34,1,41,4.51
193.5,339.07,1495.37,19,1,40,8.53
192.91,264.95,763.25,34,1,44,7.16
171.34,388.44,901.17,17,5,41,7.41
62.42,264.88,119.27,16,6,38,4.47
80.09,427.57,1129.94,23,1,32,7.51
170.97,280.43,330.66,2,5,26,4.28
66.8,284.86,1349.12,31,4,50,8.78
38.05,439.56,323.61,34,2,56,6.88
113.58,207.71,302.22,37,6,53,6.72
187.55,75.67,74.09,12,7,37,3.92
140.73,24.1,718.66,24,2,48,5.58
116.16,380.02,855.96,8,6,30,6.26
23.95,313.95,117.25,3,7,25,3.36
124.93,355.0,1167.78,13,2,32,6.86
198.06,114.35,690.87,36,6,57,7.52
32.32,76.82,796.1,33,2,55,6.43
106.07,17.13,672.33,10,2,31,4.07
176.09,181.79,613.13,2,7,28,4.7
149.45,299.06,848.27,27,2,37,6.99
140.92,202.2,249.76,28,2,45,5.3
141.98,224.36,289.25,8,7,38,4.54
75.1,453.04,1295.44,2,4,25,6.91
62.25,180.65,1420.25,24,1,33,7.2
162.83,261.85,572.5,33,3,53,7.14
162.97,393.99,420.7,11,5,39,5.81
174.08,204.31,973.12,8,3,17,5.33
183.08,314.82,624.93,14,3,35,5.74
104.71,432.56,57.57,39,6,53,6.95
102.8,475.27,251.11,24,1,45,6.06
160.67,82.07,1079.64,4,6,34,5.64
131.74,464.03,995.21,10,1,29,6.46
141.88,251.14,60.1,33,7,59,6.33
160.18,136.54,348.52,23,7,37,5.4
178.55,234.98,361.99,14,1,27,4.35
70.91,490.22,1014.4,37,2,59,9.2
78.24,251.38,49.17,7,4,25,3.2
23.33,171.09,174.08,4,2,14,2.28
117.76,320.37,1203.88,25,4,51,8.22
12.01,127.67,284.25,17,6,29,4.08
95.79,47.17,986.06,5,4,30,4.85
110.82,73.15,372.51,36,6,59,6.38
60.88,72.74,167.17,12,7,27,3.5
120.21,84.43,379.89,27,3,45,5.24
10.95,78.03,1088.96,4,7,22,4.97
12.28,324.03,1286.43,12,7,35,7.09
165.41,99.12,1248.73,16,3,33,6.61
75.24,179.38,607.83,39,4,54,7.08
29.78,449.43,1008.77,31,4,52,8.5
106.84,242.24,323.38,28,6,45,6.0
155.15,337.1,453.86,2,2,25,4.33
47.09,94.44,1346.58,39,6,59,8.94
126.46,104.22,39.24,33,2,49,4.85
21.64,30.03,146.55,39,7,54,5.5
